sustained_wind_kmh,pressure_hpa,distance_to_coast_km,historical_cyclone_density,cyclone_season,label
166.7,961.3,0.0,0.44,1,2
37.0,1004.8,0.0,0.0,1,0
46.3,1001.6,367.0,0.44,1,0
46.3,1001.6,459.0,0.22,1,0
55.6,998.5,413.0,0.33,1,0
55.6,998.5,337.0,0.329,1,0
55.6,998.5,188.0,0.439,1,0
55.6,998.5,409.0,0.329,1,0
46.3,1001.6,596.0,0.0,1,0
46.3,1001.6,644.0,0.105,1,0
37.0,1004.8,713.0,0.105,1,0
51.9,1000.0,479.0,0.418,1,0
79.6,991.0,327.0,0.418,1,1
120.4,970.0,235.0,0.627,1,2
203.7,937.0,173.0,0.522,1,2
231.5,924.0,129.0,0.522,1,2
213.0,960.0,79.0,0.835,1,2
129.6,973.7,0.0,0.209,1,2
64.8,995.4,0.0,0.0,1,1
50.0,991.0,67.0,0.31,1,0
61.1,990.0,0.0,0.517,1,0
50.0,995.0,0.0,0.103,1,0
50.0,994.0,160.0,0.914,0,0
50.0,993.0,91.0,0.305,0,0
50.0,995.0,0.0,0.0,0,0
50.0,997.0,0.0,0.0,0,0
50.0,996.0,174.0,0.609,0,0
50.0,991.0,0.0,0.507,0,0
50.0,994.0,0.0,0.0,0,0
50.0,995.0,0.0,0.0,0,0
50.0,997.0,0.0,0.0,0,0
50.0,995.0,0.0,0.303,0,0
50.0,995.0,0.0,0.101,0,0
29.6,997.0,0.0,0.0,0,0
27.8,1007.9,0.0,0.0,0,0
42.6,1002.9,345.0,0.1,0,0
51.9,999.8,488.0,0.1,1,0
64.8,996.0,274.0,0.0,1,1
64.8,996.0,44.0,0.0,1,1
46.3,1001.6,0.0,0.0,1,0
46.3,1001.6,0.0,0.0,1,0
55.6,1001.0,290.0,1.001,1,0
61.1,1000.0,174.0,0.601,1,0
50.0,999.0,15.0,0.6,1,0
42.6,1002.9,455.0,0.0,1,0
46.3,1001.6,526.0,0.0,1,0
55.6,1001.0,332.0,0.398,1,0
55.6,1001.0,272.0,0.298,1,0
55.6,1001.0,59.0,0.497,1,0
50.0,1002.0,0.0,0.199,1,0
50.0,1010.0,184.0,0.297,1,0
29.6,1009.0,0.0,0.0,1,0
50.0,1009.0,72.0,0.0,1,0
61.1,1007.0,203.0,0.099,1,0
50.0,1009.0,126.0,0.099,1,0
27.8,1007.9,635.0,0.0,1,0
42.6,1002.9,578.0,0.197,1,0
70.4,993.6,565.0,0.196,1,1
83.3,989.2,456.0,0.491,1,1
83.3,989.2,382.0,0.589,1,1
83.3,989.2,190.0,0.785,1,1
37.0,1004.8,0.0,0.0,1,0
37.0,1004.8,710.0,0.0,0,0
37.0,1004.8,561.0,0.0,0,0
42.6,1002.9,329.0,0.0,0,0
64.8,995.4,531.0,0.0,0,1
64.8,995.4,591.0,0.097,0,1
64.8,995.4,737.0,0.0,0,1
55.6,998.5,1234.0,0.0,0,0
37.0,1004.8,661.0,0.19,1,0
46.3,1001.6,670.0,0.0,1,0
64.8,1002.0,840.0,0.095,1,1
88.9,996.0,748.0,0.19,1,1
116.7,990.0,737.0,0.285,1,1
163.0,973.0,527.0,0.854,1,2
213.0,927.0,352.0,0.569,1,2
259.3,918.0,140.0,0.664,1,2
203.7,994.0,0.0,0.0,1,2
46.3,1001.6,621.0,0.282,1,0
55.6,996.0,453.0,0.564,1,0
88.9,991.0,59.0,0.564,1,1
92.6,990.0,20.0,0.47,1,1
46.3,1001.6,0.0,0.0,1,0
46.3,992.0,123.0,0.649,0,0
55.6,984.0,56.0,0.834,0,0
55.6,986.0,0.0,0.463,0,0
55.6,988.0,0.0,0.093,0,0
46.3,990.0,0.0,0.0,0,0
27.8,994.0,0.0,0.0,0,0
46.3,994.0,100.0,0.92,0,0
46.3,994.0,0.0,0.0,0,0
46.3,994.0,0.0,0.0,0,0
46.3,992.0,0.0,0.0,0,0
46.3,996.0,0.0,0.0,0,0
46.3,1000.0,177.0,0.365,0,0
46.3,1000.0,0.0,0.365,0,0
46.3,1000.0,232.0,0.182,1,0
46.3,1000.0,162.0,0.818,1,0
46.3,1002.0,0.0,0.636,1,0
46.3,1002.0,188.0,0.362,1,0
46.3,998.0,58.0,0.362,1,0
46.3,1000.0,0.0,0.0,1,0
27.8,1007.9,382.0,0.0,1,0
37.0,1004.8,618.0,0.18,1,0
42.6,1006.0,773.0,0.271,1,0
46.3,1006.0,748.0,0.361,1,0
61.1,1000.0,207.0,0.721,1,0
74.1,998.0,32.0,0.18,1,1
74.1,1000.0,0.0,0.27,1,1
37.0,1004.8,0.0,0.0,1,0
42.6,1002.0,818.0,0.259,1,0
61.1,997.0,658.0,0.259,1,0
88.9,994.0,568.0,0.517,1,1
116.7,993.0,145.0,0.172,1,1
120.4,994.0,46.0,0.172,1,2
46.3,1001.6,0.0,0.0,1,0
46.3,1001.6,569.0,0.086,1,0
55.6,998.5,766.0,0.0,1,0
61.1,996.7,1102.0,0.0,1,0
64.8,995.4,1056.0,0.0,1,1
64.8,995.4,894.0,0.086,1,1
64.8,1002.0,938.0,0.172,1,1
64.8,998.0,908.0,0.171,1,1
64.8,998.0,674.0,0.0,1,1
64.8,998.0,451.0,0.0,1,1
46.3,996.0,176.0,0.0,1,0
46.3,1001.6,783.0,0.257,1,0
46.3,1001.6,679.0,0.257,1,0
55.6,998.5,291.0,0.77,1,0
83.3,989.2,23.0,0.685,1,1
64.8,995.4,0.0,0.599,1,1
27.8,1007.9,1240.0,0.0,0,0
33.3,1006.0,1247.0,0.0,0,0
37.0,1004.8,1258.0,0.0,0,0
42.6,1002.9,1324.0,0.085,0,0
74.1,992.3,605.0,0.085,0,1
129.6,973.7,150.0,0.17,0,2
138.9,965.0,46.0,0.255,0,2
129.6,985.0,310.0,0.085,0,2
129.6,985.0,10.0,0.085,0,2
74.1,996.0,0.0,0.085,0,1
33.3,1006.0,767.0,0.085,0,0
37.0,1004.8,713.0,0.085,0,0
42.6,1002.9,129.0,0.085,0,0
55.6,1006.0,96.0,0.34,0,0
64.8,998.0,148.0,0.085,0,1
88.9,987.4,281.0,0.17,0,1
120.4,980.0,76.0,0.085,0,2
92.6,990.0,0.0,0.0,0,1
37.0,1000.0,0.0,0.0,0,0
37.0,1004.8,396.0,0.848,0,0
46.3,1001.6,306.0,0.509,0,0
74.1,992.3,0.0,0.678,0,1
64.8,995.4,0.0,0.339,0,1
37.0,1004.8,0.0,0.0,0,0
51.9,999.8,46.0,0.251,0,0
55.6,998.5,86.0,0.418,0,0
55.6,998.5,84.0,0.669,0,0
46.3,1001.6,11.0,0.418,0,0
46.3,1001.6,0.0,0.502,0,0
33.3,1006.0,227.0,0.084,0,0
51.9,999.8,505.0,0.334,0,0
88.9,999.0,585.0,0.0,1,1
101.9,998.0,436.0,0.0,1,1
83.3,996.0,67.0,0.0,1,1
46.3,1001.6,0.0,0.0,1,0
27.8,1007.9,187.0,0.0,1,0
37.0,1004.8,589.0,0.083,1,0
51.9,999.8,691.0,0.334,1,0
70.4,993.6,404.0,0.334,1,1
83.3,989.2,298.0,0.25,1,1
74.1,992.3,10.0,0.5,1,1
27.8,1007.9,840.0,0.167,1,0
27.8,1007.9,747.0,0.167,1,0
27.8,1007.9,477.0,0.166,1,0
27.8,1007.9,436.0,0.333,1,0
27.8,1007.9,283.0,0.416,1,0
37.0,1004.8,300.0,0.333,1,0
37.0,1004.8,301.0,0.249,1,0
46.3,1004.0,284.0,0.831,1,0
55.6,998.0,168.0,0.831,1,0
46.3,1000.0,0.0,0.0,1,0
37.0,1004.8,448.0,0.083,1,0
37.0,1004.8,432.0,0.0,1,0
51.9,999.8,429.0,0.332,1,0
64.8,998.0,509.0,0.58,1,1
79.6,999.0,385.0,0.497,1,1
101.9,996.0,301.0,0.414,1,1
101.9,1000.0,256.0,0.497,1,1
27.8,1007.9,261.0,0.0,1,0
74.1,1004.0,165.0,0.331,1,1
37.0,1004.8,111.0,0.0,1,0
46.3,1001.6,161.0,0.745,1,0
37.0,1004.8,188.0,0.0,1,0
27.8,1007.9,1100.0,0.0,1,0
33.3,1006.0,421.0,0.0,1,0
37.0,1004.8,1054.0,0.0,1,0
51.9,999.8,585.0,0.0,1,0
